"","gbifID","class","order","family","genus","species","stateProvince","decimalLatitude","decimalLongitude","day","month","year"
"4331",1324151407,"Amphibia","Caudata","Salamandridae","Notophthalmus","Notophthalmus viridescens","Florida",26.46141,-81.77724,18,5,2011
"4332",1324147418,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",26.36665,-81.5175,21,11,2011
"4333",3357594311,"Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis extenuata","Florida",28.47195,-82.50101,31,10,2012
"4334",1324150482,"Reptilia","Squamata","Agamidae","Agama","Agama picticauda","Florida",27.17613,-80.25246,20,10,2012
"4335",1324152246,"Reptilia","Squamata","Colubridae","Thamnophis","Thamnophis sirtalis","Florida",25.28988,-80.44594,21,5,2012
"4336",1324151150,"Reptilia","Squamata","Leiocephalidae","Leiocephalus","Leiocephalus carinatus","Florida",26.50943,-82.18958,24,4,2013
"4337",1324153357,"Reptilia","Testudines","Kinosternidae","Kinosternon","Kinosternon subrubrum","Florida",29.4094,-81.7568,5,2,2014
"4338",1324150102,"Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus mabouia","Florida",29.63693,-82.33131,19,8,2012
"4339",1324150024,"Reptilia","Squamata","Viperidae","Agkistrodon","Agkistrodon contortrix","Florida",30.59691,-84.73886,3,10,2012
"4340",1324151321,"Reptilia","Squamata","Gekkonidae","Phelsuma","Phelsuma grandis","Florida",24.76503,-80.94878,16,5,2013
"4341",1324151097,"Reptilia","Squamata","Iguanidae","Ctenosaura","Ctenosaura similis","Florida",26.44534,-81.93695,12,4,2013
"4342",1324152250,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.76097,-80.64288,8,9,2013
"4343",1324147485,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.35318,-80.49285,30,12,2011
"4344",1324145753,"Reptilia","Squamata","Phyllodactylidae","Tarentola","Tarentola annularis","Florida",26.04591,-80.21976,3,9,2010
"4345",1324151559,"Amphibia","Anura","Hylidae","Dryophytes","Dryophytes squirellus","Florida",29.69587,-82.34309,4,6,2013
