OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
311,311,4388,3949200,0,92,92,14.63445761,23.36814319,64216,87,0,8,0
312,312,4386,3947400,0,91,91,3.867077063,14.27347952,16961,65,0,20,0
313,313,4426,3983400,0,89,89,5.857207411,13.0916143,25924,84,0,68,0
314,314,4343,3908700,0,68,68,5.459129634,9.571843729,23709,61,0,47,0
315,315,4305,3874500,0,95,95,8.606736353,19.4713119,37052,77,0,9,0
316,316,4339,3905100,0,91,91,13.29384651,19.81671226,57682,89,0,4,8
317,317,4725,4252500,0,99,99,61.1589418,24.56661663,288976,73,31,18,66
318,318,4360,3924000,0,85,85,5.747477064,15.49239953,25059,71,0,8,0
319,319,4315,3883500,0,75,75,2.053534183,7.841781811,8861,43,0,13,0
320,320,4322,3889800,0,87,87,3.839426192,12.51222967,16594,70,0,14,0
321,321,4310,3879000,0,96,96,3.696983759,13.15349557,15934,70,0,60,0
322,322,4393,3953700,0,92,92,10.53494195,18.63513155,46280,87,0,73,0
323,323,1678,1510200,0,93,93,18.64958284,30.58575894,31294,57,0,8,0
324,324,4319,3887100,0,86,86,3.258856217,12.76013958,14075,62,0,5,0
325,325,2044,1839600,0,91,91,9.459393346,21.89940564,19335,58,0,9,0
326,326,4310,3879000,0,82,82,3.064965197,11.68763808,13210,53,0,17,0
327,327,2727,2454300,0,94,94,25.97066373,27.46474657,70822,82,0,92,20
328,328,4394,3954600,0,96,96,10.20596268,21.70482351,44845,79,0,7,0
329,329,4347,3912300,0,84,84,2.616977226,10.79734977,11376,65,0,6,0
330,330,4180,3762000,0,96,96,13.55909091,27.01250997,56677,86,0,40,0
331,331,4297,3867300,0,93,93,6.902024668,20.636417,29658,73,0,19,0
332,332,4395,3955500,0,94,94,5.625255973,16.06584713,24723,81,0,7,0
333,333,4386,3947400,0,95,95,4.045143639,11.17729138,17742,78,0,48,0
334,334,4328,3895200,0,80,80,0.597504621,4.789150676,2586,28,0,15,0
335,335,4308,3877200,0,93,93,2.847493036,12.65196212,12267,56,0,16,0
336,336,2318,2086200,0,94,94,13.32398619,25.57397774,30885,92,0,3,0
337,337,4391,3951900,0,95,95,4.073104077,11.33158475,17885,78,0,4,0
338,338,4298,3868200,0,88,88,9.303862262,18.19632833,39988,79,0,47,0
339,339,4383,3944700,0,95,95,4.172256445,11.4331968,18287,78,0,4,0
340,340,4478,4030200,0,91,91,42.98258151,29.01903951,192476,85,0,8,43
